ID,Title,Author,Year,Format,File
1,Bulan,Tere Liye,2015,PDF,ebook/Tere Liye - Bulan.pdf
2,Ayat - Ayat Api,Sapardi Djoko Damono,2000,PDF,ebook/Ayat-ayat api.pdf
3,Bahagia Kenapa Tidak?,Reza A.A Wattimena,2015,PDF,ebook/Bahagia kenapa tidak1.pdf
4,Menjadi Guru Sekolah Minggu Yang Efektif,Ayub Yahya,2011,Pdf,ebook/MENJADI GURU SEKOLAH MINGGU.pdf
5,Apa Itu Ateis?,Sylvain Marechal,2020,Pdf,ebook/Apa-itu-Ateis-Sylvain-Marechal.pdf
6, Buat Apa Shalat, Dr. Haidar Bagir,2006,Pdf,ebook/Dr. Haidar Bagir - Buat Apa Shalat.pdf
